Command: /home/users9/jp581081/526LSP21/LAB9/./simv -l fifo_FWFT.log
Chronologic VCS simulator copyright 1991-2017
Contains Synopsys proprietary information.
Compiler version N-2017.12-SP2-2_Full64; Runtime version N-2017.12-SP2-2_Full64;  May  1 18:13 2021
VCD+ Writer N-2017.12-SP2-2_Full64 Copyright (c) 1991-2017 by Synopsys Inc.
                1120:rst_n=x, data_in= 57, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 23, valid=1, almost_empty=0, empty=0, underflow=0, count=11
                1130:rst_n=x, data_in= 57, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 24, valid=1, almost_empty=0, empty=0, underflow=0, count=10
                1140:rst_n=x, data_in= 58, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 24, valid=1, almost_empty=0, empty=0, underflow=0, count=10
                1150:rst_n=x, data_in= 58, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 25, valid=1, almost_empty=0, empty=0, underflow=0, count= 9
                1160:rst_n=x, data_in= 59, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 25, valid=1, almost_empty=0, empty=0, underflow=0, count= 9
                1170:rst_n=x, data_in= 59, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 26, valid=1, almost_empty=0, empty=0, underflow=0, count= 8
                1180:rst_n=x, data_in= 60, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 26, valid=1, almost_empty=0, empty=0, underflow=0, count= 8
                1190:rst_n=x, data_in= 60, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 27, valid=1, almost_empty=0, empty=0, underflow=0, count= 7
                1200:rst_n=x, data_in= 61, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 27, valid=1, almost_empty=0, empty=0, underflow=0, count= 7
                1210:rst_n=x, data_in= 61, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 28, valid=1, almost_empty=0, empty=0, underflow=0, count= 6
                1220:rst_n=x, data_in= 62, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 28, valid=1, almost_empty=0, empty=0, underflow=0, count= 6
                1230:rst_n=x, data_in= 62, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 29, valid=1, almost_empty=0, empty=0, underflow=0, count= 5
                1240:rst_n=x, data_in= 63, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 29, valid=1, almost_empty=0, empty=0, underflow=0, count= 5
                1250:rst_n=x, data_in= 63, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 30, valid=1, almost_empty=0, empty=0, underflow=0, count= 4
                1260:rst_n=x, data_in= 64, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 30, valid=1, almost_empty=0, empty=0, underflow=0, count= 4
                1270:rst_n=x, data_in= 64, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 31, valid=1, almost_empty=0, empty=0, underflow=0, count= 3
                1280:rst_n=x, data_in= 65, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 31, valid=1, almost_empty=0, empty=0, underflow=0, count= 3
                1290:rst_n=x, data_in= 65, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 32, valid=1, almost_empty=1, empty=0, underflow=0, count= 2
                1300:rst_n=x, data_in= 66, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 32, valid=1, almost_empty=1, empty=0, underflow=0, count= 2
                1310:rst_n=x, data_in= 66, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 33, valid=1, almost_empty=1, empty=0, underflow=0, count= 1
                1320:rst_n=x, data_in= 67, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out= 33, valid=1, almost_empty=1, empty=0, underflow=0, count= 1
                1330:rst_n=x, data_in= 67, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out=  0, valid=1, almost_empty=1, empty=1, underflow=0, count= 0
                1340:rst_n=x, data_in= 68, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out=  0, valid=1, almost_empty=1, empty=1, underflow=0, count= 0
                1350:rst_n=x, data_in= 68, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=1 data_out=  0, valid=0, almost_empty=1, empty=1, underflow=1, count= 0
                1360:rst_n=x, data_in= 69, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=0 data_out=  0, valid=0, almost_empty=1, empty=1, underflow=1, count= 0
                1370:rst_n=x, data_in= 69, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=0 data_out=  0, valid=0, almost_empty=1, empty=1, underflow=0, count= 0
                1380:rst_n=x, data_in= 70, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out=  0, valid=0, almost_empty=1, empty=1, underflow=0, count= 0
                1390:rst_n=x, data_in= 70, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out=  0, valid=0, almost_empty=1, empty=0, underflow=0, count= 1
                1400:rst_n=x, data_in= 71, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out=  0, valid=0, almost_empty=1, empty=0, underflow=0, count= 1
                1410:rst_n=x, data_in= 71, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out= 70, valid=0, almost_empty=1, empty=0, underflow=0, count= 2
                1420:rst_n=x, data_in= 72, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out= 70, valid=0, almost_empty=1, empty=0, underflow=0, count= 2
                1430:rst_n=x, data_in= 72, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out= 70, valid=0, almost_empty=0, empty=0, underflow=0, count= 3
                1440:rst_n=x, data_in= 73, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out= 70, valid=0, almost_empty=0, empty=0, underflow=0, count= 3
                1450:rst_n=x, data_in= 73, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out= 70, valid=0, almost_empty=0, empty=0, underflow=0, count= 4
                1460:rst_n=x, data_in= 74, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out= 70, valid=0, almost_empty=0, empty=0, underflow=0, count= 4
                1470:rst_n=x, data_in= 74, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out= 70, valid=0, almost_empty=0, empty=0, underflow=0, count= 5
                1480:rst_n=x, data_in= 75, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out= 70, valid=0, almost_empty=0, empty=0, underflow=0, count= 5
                1490:rst_n=x, data_in= 75, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out= 70, valid=0, almost_empty=0, empty=0, underflow=0, count= 6
